Year;Month;Province;Mortgaged_FirstHand_Sale;Mortgaged_SecondHand_Sale;Other_FirstHand_Sale;Other_SecondHand_Sale
2013;August;Sakarya-54;263;212;525;494
2013;August;Samsun-55;225;239;430;426
2013;August;Sanliurfa-63;65;127;307;234
2013;August;Siirt-56;20;11;55;24
2013;August;Sinop-57;44;47;97;68
2013;August;Sirnak-73;0;1;5;3
2013;August;Sivas-58;55;75;190;143
2013;August;Tekirdag-59;381;395;497;790
2013;August;Tokat-60;94;64;112;117
2013;August;Trabzon-61;99;122;325;228
2013;August;Tunceli-62;40;14;125;42
2013;August;Usak-64;36;54;69;106
2013;August;Van-65;24;16;86;69
2013;August;Yalova-77;44;97;142;520
2013;August;Yozgat-66;45;62;133;120
2013;August;Zonguldak-67;67;101;125;148
2013;September;Adana-1;244;467;393;520
2013;September;Adiyaman-2;49;92;139;142
2013;September;Afyonkarahisar-3;77;68;143;248
2013;September;Agri-4;27;11;54;34
2013;September;Aksaray-68;77;62;209;171
2013;September;Amasya-5;83;74;114;72
2013;September;Ankara-6;2058;3078;2981;4089
2013;September;Antalya-7;677;958;1416;1779
2013;September;Ardahan-75;11;2;4;6
2013;September;Artvin-8;25;24;89;34
2013;September;Aydin-9;247;417;604;1027
